
The 'dental/alveolar' sounds occur in these languages:

Language (sounds)	Sound	% of sounds in language
ABIPON (20) 	"l, "n, "rr, "t 	20.00%	
ACHE (21) 	"l[, "nd, "t 	14.29%	
ACHUMAWI (23) 	"n, "rr 	8.70%	
ADZERA (25) 	"d, "dz, "n, "r, "s, "th, "tsh 	28.00%	
AKAWAIO (23) 	"d, "n, "rr, "s, "t, "z 	26.09%	
ALABAMA (17) 	"hlF, "l, "n 	17.65%	
ALBANIAN (35) 	"dz, "r, "ts 	8.57%	
ALEUT (27) 	"hlF, "hn, "l, "n, "t, "ts 	22.22%	
AMAHUACA (22) 	"n, "r[, "s, "t 	18.18%	
AMHARIC (37) 	"d, "l, "n, "s, "sW, "t, "t', "z 	21.62%	
AMUESHA (26) 	"r[ 	3.85%	
ANDAMANESE (24) 	"d, "l, "n, "rA, "t 	20.83%	
APINAYE (30) 	"s 	3.33%	
ARABELA (18) 	"n, "r, "s, "t 	22.22%	
ARCHI (91) 	"d, "dW, "hlF, "hlF:, "hlFW, "hlFW:, "l, "lF, "n, "rr, "s, "s:, "sW, "sW:, "t', "t:, "tWh, "th, "tlF', "tlFW', "tlFWh, "tlFh, "ts', "ts':, "tsW', "tsWh, "tsh, "z, "zW 	31.87%	
ASHUSLAY (28) 	"l, "n, "s, "t, "t*, "ts, "ts* 	25.00%	
ATAYAL (26) 	"l, "n, "r[, "s, "t, "ts 	23.08%	
AVAR (49) 	"d, "hlF, "hlF:, "l, "n, "rr, "s, "s:, "t', "th, "tlF':, "tlF:, "ts', "ts':, "ts:, "tsh, "z 	34.69%	
AWIYA (35) 	"dz, "l, "n, "r[, "s, "t, "ts, "z 	22.86%	
AZERBAIJANI (33) 	"l 	3.03%	
BAI (29) 	"s, "ts, "tsh 	10.34%	
BAKAIRI (29) 	"d, "l, "n, "rr, "s, "t, "z 	24.14%	
BASQUE (28) 	"d, "l, "n, "r, "r[, "s, "t, "ts 	28.57%	
BATAK (21) 	"d, "l, "n, "s, "t 	23.81%	
BEJA (26) 	"l, "rr 	7.69%	
BELLA COOLA (31) 	"hlF, "l, "tlF' 	9.68%	
BERTA (29) 	"d, "d<, "l, "n, "nd, "r, "s, "s' 	27.59%	
BORORO (20) 	"d, "n, "rr, "t 	20.00%	
BRAHUI (33) 	"hlF 	3.03%	
BRAO (31) 	"l 	3.23%	
BRIBRI (27) 	"d, "n, "rr, "s, "t, "ts, "z 	25.93%	
BRUU (42) 	"d, "l, "n, "rr, "s, "t, "th 	16.67%	
BURMESE (46) 	"d, "hl, "hn, "l, "n, "s, "sh, "t, "th, "z 	21.74%	
BURUSHASKI (43) 	"d, "l, "n, "rr, "s, "t, "th, "ts, "tsh, "z 	23.26%	
CADDO (23) 	"d, "n, "s, "t, "t', "ts, "ts' 	30.43%	
CARIB (22) 	"d, "n, "s, "t 	18.18%	
CHAMORRO (26) 	"s 	3.85%	
CHANGZHOU (34) 	"l, "n, "s, "t, "th, "thh, "ts, "tsh, "tshh, "z 	29.41%	
CHATINO (25) 	"d, "l, "n, "rr, "s, "t 	24.00%	
CHIPEWYAN (52) 	"hl, "l, "n, "r, "s, "t, "t', "t-h, "tlF, "tlF', "tlFh, "ts, "ts', "tsh, "z 	28.85%	
CHUKCHI (22) 	"hlF, "n, "sJ, "t, "ts 	22.73%	
CHUVASH (30) 	"d, "l, "n, "r, "s, "t, "ts, "z 	26.67%	
COFAN (35) 	"d, "n, "rr, "s, "t, "th 	17.14%	
CUBEO (23) 	"l[ 	4.35%	
CUNA (21) 	"d, "l, "n, "r[, "s, "t 	28.57%	
DAFLA (24) 	"d, "n, "s, "t 	16.67%	
DAGBANI (29) 	"d, "l, "n, "s, "t, "z 	20.69%	
DAGUR (29) 	"d, "l, "n, "rr, "t 	17.24%	
DAHALO (59) 	"dlF, "hlF, "l, "tlF, "tlF' 	8.47%	
DAKOTA (36) 	"l, "n, "s, "s', "t, "t', "th, "z 	22.22%	
DANGALEAT (28) 	"d, "d<, "n, "r, "t 	17.86%	
DANI (24) 	"l, "n, "s, "t 	16.67%	
DERA (17) 	"d, "n, "t 	17.65%	
DIZI (30) 	"d, "l, "n, "rr, "s, "t, "t', "ts', "z 	30.00%	
DOAYO (34) 	"d, "d<, "l, "n, "rr, "s, "t, "z 	23.53%	
DOGON (28) 	"d, "l, "n, "s, "t 	17.86%	
EVEN (27) 	"d, "l, "n, "r, "t 	18.52%	
EWE (40) 	"l, "n, "s, "z 	10.00%	
EYAK (45) 	"d, "dlF, "dz, "hlF, "l, "n, "s, "t', "th, "tlF', "tlFh, "ts', "tsh 	28.89%	
FE?FE? (25) 	"d, "n, "s, "t, "z 	20.00%	
FINNISH (25) 	"r 	4.00%	
FUZHOU (21) 	"l, "n, "s, "t, "th, "ts, "tsh 	33.33%	
GADSUP (15) 	"n 	6.67%	
GELAO (43) 	"l, "n, "nt, "nts, "s, "t, "th, "ts, "tsh, "z 	23.26%	
GEORGIAN (34) 	"l-, "n, "r 	8.82%	
GUAJIRO (26) 	"l[, "n, "r, "s, "t 	19.23%	
GUARANI (36) 	"rF 	2.78%	
GUGU-YALANDYI (16) 	"l, "n, "rr, "t 	25.00%	
HAIDA (49) 	"dlF, "hlF, "l, "l*, "n, "n*, "t, "t', "th, "tlF, "tlF' 	22.45%	
HAKKA (22) 	"l, "nd, "s, "t, "th, "ts, "tsh 	31.82%	
HAWAIIAN (13) 	"l, "n 	15.38%	
HIGHLAND CHINANTEC (41) 	"6, "dz, "hl, "hn, "l, "n, "t, "ts 	19.51%	
HINDI-URDU (61) 	"l, "lh, "r, "s, "z 	8.20%	
HUARI (32) 	"d, "dz, "n, "s, "t, "ts 	18.75%	
HUAVE (29) 	"6, "d, "l, "n, "nd, "r, "r[, "s, "t, "ts 	34.48%	
IAI (52) 	"d, "n, "s, "t 	7.69%	
IATE (30) 	"l, "n, "t, "th, "ts, "tsh 	20.00%	
IGBO (59) 	"d, "dh, "l, "n, "r[, "r[J, "s, "t, "th, "z 	16.95%	
IK (44) 	"hlF, "l, "lF, "tlF' 	9.09%	
INUIT (22) 	"s, "ts 	9.09%	
IRANXE (39) 	"d, "l, "n, "r[, "s, "t, "tW 	17.95%	
IRARUTU (19) 	"r[ 	5.26%	
ISLAND CARIB (27) 	"d, "l, "n, "r[, "s, "t 	22.22%	
ITELMEN (32) 	"n, "nJ, "r, "s, "t, "t', "ts', "z 	25.00%	
ITONAMA (25) 	"d, "l, "n, "r[, "s, "t, "t', "tJ 	32.00%	
